,B_z,E (meV),lower_eig,upper_eig,level_splitting,lower_ind_values,upper_ind_values
0,-3.5762786865234376e-10,3.1115941269176943,|-8.0 >,|8.0 >,3.7394456313677438e-06,3,4
1,-2.503395080566407e-09,17.250269714384743,|-4.7 >,|4.7 >,0.01295423965171949,7,8
